Concurrency,environment,Requests_mean,Requests_std,Requests_var,percentile90_mean,percentile90_std,percentile_var
100,Crio,4871.41,2.8567113959939476,8.16080000000169,26.0,0.0,0.0
100,Docker,6264.360000000001,24.975011511508974,623.7512000000058,18.0,0.0,0.0
100,Podman,5760.615,46.39327591364883,2152.3360499999485,20.0,0.0,0.0
200,Crio,5013.79,29.11865724926223,847.896200000012,48.5,0.7071067811865476,0.5
200,Docker,6266.675,6.597306268470437,43.52444999999932,35.5,0.7071067811865476,0.5
200,Podman,5862.62,90.6793736193627,8222.748799999972,38.5,0.7071067811865476,0.5
300,Crio,5085.225,24.19012298439214,585.1620500000168,70.5,0.7071067811865476,0.5
300,Docker,6276.875,7.587255762131346,57.566449999995314,53.0,0.0,0.0
300,Podman,5939.955,113.17244032890642,12808.001249999883,57.0,1.4142135623730951,2.0
400,Crio,5178.41,17.295831867822656,299.1457999999898,92.0,0.0,0.0
400,Docker,6300.42,19.23330444827461,369.9200000000198,70.0,0.0,0.0
400,Podman,5966.13,128.1136066153789,16413.096200000055,75.5,2.1213203435596424,4.5
500,Crio,5244.275,11.504627329904473,132.3564499999849,112.0,0.0,0.0
500,Docker,6278.205,20.79601043469626,432.4740499999957,88.5,0.7071067811865476,0.5
500,Podman,5912.62,27.464027381285607,754.2728000000056,94.0,2.8284271247461903,8.0
600,Crio,5254.1849999999995,18.94339066798726,358.85204999998683,132.0,0.0,0.0
600,Docker,6290.485000000001,4.1507168055646355,17.22844999999669,105.0,0.0,0.0
600,Podman,6018.195,114.64322243377535,13143.068450000092,111.5,2.1213203435596424,4.5
700,Crio,5258.855,10.062129496285227,101.2464500000132,152.5,0.7071067811865476,0.5
700,Docker,6282.285,33.849201615400276,1145.7684500000166,123.0,1.4142135623730951,2.0
700,Podman,5941.97,195.40188791309066,38181.89780000004,130.5,3.5355339059327378,12.5
1000,Crio,5307.74,22.24557933612849,494.86579999998685,215.0,1.4142135623730951,2.0
1000,Docker,6289.0,5.204305909533401,27.084800000004282,175.0,0.0,0.0
1000,Podman,6049.11,148.30857628606634,21995.433799999955,182.5,2.1213203435596424,4.5
2000,Crio,5372.33,43.75576761982396,1914.567200000035,423.0,4.242640687119285,18.0
2000,Docker,6321.15,16.20688742479572,262.66320000000167,435.0,123.03657992645927,15138.0
2000,Podman,5948.835,158.25756869736082,25045.458049999885,361.0,5.656854249492381,32.0
3000,Crio,5435.38,14.622968234938009,213.83120000000602,626.5,0.7071067811865476,0.5
3000,Docker,6327.08,7.73574818618119,59.84180000000557,433.5,123.74368670764582,15312.5
3000,Podman,6209.275,73.60274485370783,5417.364050000016,535.0,5.656854249492381,32.0
4000,Crio,5673.975,42.4193358033818,1799.4000500000689,832.0,18.384776310850235,338.0
4000,Docker,6569.4400000000005,20.025264043203784,401.0112000000304,686.5,0.7071067811865476,0.5
4000,Podman,6160.1,121.76378772032368,14826.420000000047,705.0,0.0,0.0
5000,Crio,5893.57,27.93071785686863,780.125,1293.5,79.90306627407988,6384.5
5000,Docker,6748.785,54.369440405433224,2956.036049999955,840.5,2.1213203435596424,4.5
5000,Podman,6373.96,126.23270257742277,15934.695200000078,876.0,11.313708498984761,128.0
6000,Crio,6103.0,50.55813485483815,2556.125,1402.5,26.16295090390226,684.5
6000,Docker,7023.639999999999,7.198347032478938,51.81619999999833,976.0,5.656854249492381,32.0
6000,Podman,6462.389999999999,74.37349124520031,5531.416199999887,1051.5,0.7071067811865476,0.5
7000,Crio,6415.055,24.16183871314438,583.7944500000025,1627.5,20.506096654409877,420.5
7000,Docker,7196.675,42.023356005916725,1765.9624500000173,1101.0,5.656854249492381,32.0
7000,Podman,6805.0,45.36797108092879,2058.2527999999907,1154.5,6.363961030678928,40.5
8000,Crio,6974.66,16.065466068558862,258.09920000001614,1502,,
8000,Docker,7891.2,12.388510806388622,153.47520000000765,1157.0,4.242640687119285,18.0
8000,Podman,7681.665,44.6820775031783,1996.4880500000322,1186.0,11.313708498984761,128.0
9000,Crio,7965.19,413.303913603537,170820.125,1010,,
9000,Docker,10883.425,351.29771996128767,123410.08804999929,887.5,115.25840533340725,13284.5
9000,Podman,10805.86,168.68739371986177,28455.43679999966,822.5,13.435028842544403,180.5
